Date,Year,SB Number,SB,Winner Team Id,Winner Pts,Loser Team Id,Loser Pts,MVP,Stadium,City,State
Feb 2 2020,2020,54,LIV (54),16,31,11,20,Patrick Mahomes,Hard Rock Stadium,Miami Gardens,Florida
Feb 3 2019,2019,53,LIII (53),19,13,9,3,Julian Edelman,Mercedes-Benz Stadium,Atlanta,Georgia
Feb 4 2018,2018,52,LII (52),7,41,19,33,Nick Foles,U.S. Bank Stadium,Minneapolis,Minnesota
Feb 5 2017,2017,51,LI (51),19,34,24,28,Tom Brady,NRG Stadium,Houston,Texas
Feb 7 2016,2016,50,L (50),14,24,30,10,Von Miller,Levi's Stadium,Santa Clara,California
Feb 1 2015,2015,49,XLIX (49),19,28,28,24,Tom Brady,University of Phoenix Stadium,Glendale,Arizona
Feb 2 2014,2014,48,XLVIII (48),28,43,14,8,Malcolm Smith,MetLife Stadium,East Rutherford,New Jersey
Feb 3 2013,2013,47,XLVII (47),31,34,11,31,Joe Flacco,Mercedes-Benz Superdome,New Orleans,Louisiana
Feb 5 2012,2012,46,XLVI (46),4,21,19,17,Eli Manning,Lucas Oil Stadium,Indianapolis,Indiana
Feb 6 2011,2011,45,XLV (45),3,31,8,25,Aaron Rodgers,Cowboys Stadium,Arlington,Texas
Feb 7 2010,2010,44,XLIV (44),25,31,12,17,Drew Brees,Sun Life Stadium,Miami Gardens,Florida
Feb 1 2009,2009,43,XLIII (43),8,27,1,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida
Feb 3 2008,2008,42,XLII (42),4,17,19,14,Eli Manning,University of Phoenix Stadium,Glendale,Arizona
Feb 4 2007,2007,41,XLI (41),12,29,2,17,Peyton Manning,Dolphin Stadium,Miami Gardens,Florida
Feb 5 2006,2006,40,XL (40),8,21,28,10,Hines Ward,Ford Field,Detroit,Michigan
Feb 6 2005,2005,39,XXXIX (39),19,24,7,21,Deion Branch,Alltel Stadium,Jacksonville,Florida
Feb 1 2004,2004,38,XXXVIII (38),19,32,30,29,Tom Brady,Reliant Stadium,Houston,Texas
Jan 26 2003,2003,37,XXXVII (37),27,48,20,21,Dexter Jackson,Qualcomm Stadium,San Diego,California
Feb 3 2002,2002,36,XXXVI (36),19,20,9,17,Tom Brady,Louisiana Superdome,New Orleans,Louisiana
Jan 28 2001,2001,35,XXXV (35),31,34,4,7,Ray Lewis+,Raymond James Stadium,Tampa,Florida
Jan 30 2000,2000,34,XXXIV (34),9,23,21,16,Kurt Warner+,Georgia Dome,Atlanta,Georgia
Jan 31 1999,1999,33,XXXIII (33),14,34,24,19,John Elway+,Pro Player Stadium,Miami Gardens,Florida
Jan 25 1998,1998,32,XXXII (32),14,31,3,24,Terrell Davis+,Qualcomm Stadium,San Diego,California
Jan 26 1997,1997,31,XXXI (31),3,35,19,21,Desmond Howard,Louisiana Superdome,New Orleans,Louisiana
Jan 28 1996,1996,30,XXX (30),17,27,8,17,Larry Brown,Sun Devil Stadium,Tempe,Arizona
Jan 29 1995,1995,29,XXIX (29),11,49,15,26,Steve Young+,Joe Robbie Stadium,Miami Gardens,Florida
Jan 30 1994,1994,28,XXVIII (28),17,30,13,13,Emmitt Smith+,Georgia Dome,Atlanta,Georgia
Jan 31 1993,1993,27,XXVII (27),17,52,13,17,Troy Aikman+,Rose Bowl,Pasadena,California
Jan 26 1992,1992,26,XXVI (26),6,37,13,24,Mark Rypien,Metrodome,Minneapolis,Minnesota
Jan 27 1991,1991,25,XXV (25),4,20,13,19,Ottis Anderson,Tampa Stadium,Tampa,Florida
Jan 28 1990,1990,24,XXIV (24),11,55,14,10,Joe Montana+,Louisiana Superdome,New Orleans,Louisiana
Jan 22 1989,1989,23,XXIII (23),11,20,26,16,Jerry Rice+,Joe Robbie Stadium,Miami Gardens,Florida
Jan 31 1988,1988,22,XXII (22),6,42,14,10,Doug Williams,Jack Murphy Stadium,San Diego,California
Jan 25 1987,1987,21,XXI (21),4,39,14,20,Phil Simms,Rose Bowl,Pasadena,California
Jan 26 1986,1986,20,XX (20),2,46,19,10,Richard Dent+,Louisiana Superdome,New Orleans,Louisiana
Jan 20 1985,1985,19,XIX (19),11,38,23,16,Joe Montana+,Stanford Stadium,Palo Alto,California
Jan 22 1984,1984,18,XVIII (18),20,38,6,9,Marcus Allen+,Tampa Stadium,Tampa,Florida
Jan 30 1983,1983,17,XVII (17),6,27,23,17,John Riggins+,Rose Bowl,Pasadena,California
Jan 24 1982,1982,16,XVI (16),11,26,26,21,Joe Montana+,Pontiac Silverdome,Pontiac,Michigan
Jan 25 1981,1981,15,XV (15),20,27,7,10,Jim Plunkett,Louisiana Superdome,New Orleans,Louisiana
Jan 20 1980,1980,14,XIV (14),8,31,9,19,Terry Bradshaw+,Rose Bowl,Pasadena,California
Jan 21 1979,1979,13,XIII (13),8,35,17,31,Terry Bradshaw+,Orange Bowl,Miami,Florida
Jan 15 1978,1978,12,XII (12),17,27,14,10,Harvey MartinRandy White+,Superdome,New Orleans,Louisiana
Jan 9 1977,1977,11,XI (11),20,32,22,14,Fred Biletnikoff+,Rose Bowl,Pasadena,California
